Year,Position,Constructor,Points
2001,1,Ferrari,179
2001,2,McLaren,102
2001,3,Williams,80
2001,4,Sauber,21
2001,5,Jordan,19
2001,6,BAR,17
2001,7,Benetton,10
2001,8,Jaguar,9
2001,9,Prost,4
2001,10,Arrows,1
2001,11,Minardi,0
2002,1,Ferrari,221
2002,2,Williams,92
2002,3,McLaren,65
2002,4,Renault,23
2002,5,Sauber,11
2002,6,Jordan,9
2002,7,Jaguar,8
2002,8,BAR,7
2002,9,Minardi,2
2002,10,Toyota,2
2002,11,Arrows,2
2003,1,Ferrari,158
2003,2,Williams,144
2003,3,McLaren,142
2003,4,Renault,88
2003,5,BAR,26
2003,6,Sauber,19
2003,7,Jaguar,18
2003,8,Toyota,16
2003,9,Jordan,13
2003,10,Minardi,0
2004,1,Ferrari,262
2004,2,BAR,119
2004,3,Renault,105
2004,4,Williams,88
2004,5,McLaren,69
2004,6,Sauber,34
2004,7,Jaguar,10
2004,8,Toyota,9
2004,9,Jordan,5
2004,10,Minardi,1
2005,1,Renault,191
2005,2,McLaren,182
2005,3,Ferrari,100
2005,4,Toyota,88
2005,5,Williams,66
2005,6,BAR,38
2005,7,Red Bull,34
2005,8,Sauber,20
2005,9,Jordan,12
2005,10,Minardi,7
2006,1,Renault,206
2006,2,Ferrari,201
2006,3,McLaren,110
2006,4,Honda,86
2006,5,BMW Sauber,36
2006,6,Toyota,35
2006,7,Red Bull,16
2006,8,Williams,11
2006,9,Toro Rosso,1
2006,10,MF1,0
2006,11,Super Aguri,0
2006,12,Spyker MF1,0
2007,1,Ferrari,204
2007,2,BMW Sauber,101
2007,3,Renault,51
2007,4,Williams,33
2007,5,Red Bull,24
2007,6,Toyota,13
2007,7,Toro Rosso,8
2007,8,Honda,6
2007,9,Super Aguri,4
2007,10,Spyker,1
2007,11,McLaren,218
2008,1,Ferrari,172
2008,2,McLaren,151
2008,3,BMW Sauber,135
2008,4,Renault,80
2008,5,Toyota,56
2008,6,Toro Rosso,39
2008,7,Red Bull,29
2008,8,Williams,26
2008,9,Honda,14
2008,10,Force India,0
2008,11,Super Aguri,0
2009,1,Brawn,172
2009,2,Red Bull,153.5
2009,3,McLaren,71
2009,4,Ferrari,70
2009,5,Toyota,59.5
2009,6,BMW Sauber,36
2009,7,Williams,34.5
2009,8,Renault,26
2009,9,Force India,13
2009,10,Toro Rosso,8
2010,1,Red Bull,498
2010,2,McLaren,454
2010,3,Ferrari,396
2010,4,Mercedes,214
2010,5,Renault,163
2010,6,Williams,69
2010,7,Force India,68
2010,8,Sauber,44
2010,9,Toro Rosso,13
2010,10,Lotus,0
2010,11,HRT,0
2010,12,Virgin,0
2011,1,Red Bull,650
2011,2,McLaren,497
2011,3,Ferrari,375
2011,4,Mercedes,165
2011,5,Renault,73
2011,6,Force India,69
2011,7,Sauber,44
2011,8,Toro Rosso,41
2011,9,Williams,5
2011,10,Lotus,0
2011,11,HRT,0
2011,12,Virgin,0
2012,1,Red Bull,460
2012,2,Ferrari,400
2012,3,McLaren,378
2012,4,Lotus F1,303
2012,5,Mercedes,142
2012,6,Sauber,126
2012,7,Force India,109
2012,8,Williams,76
2012,9,Toro Rosso,26
2012,10,Caterham,0
2012,11,Marussia,0
2012,12,HRT,0
2013,1,Red Bull,596
2013,2,Mercedes,360
2013,3,Ferrari,354
2013,4,Lotus F1,315
2013,5,McLaren,122
2013,6,Force India,77
2013,7,Sauber,57
2013,8,Toro Rosso,33
2013,9,Williams,5
2013,10,Marussia,0
2013,11,Caterham,0
2014,1,Mercedes,701
2014,2,Red Bull,405
2014,3,Williams,320
2014,4,Ferrari,216
2014,5,McLaren,181
2014,6,Force India,155
2014,7,Toro Rosso,30
2014,8,Lotus F1,10
2014,9,Marussia,2
2014,10,Sauber,0
2014,11,Caterham,0
2015,1,Mercedes,703
2015,2,Ferrari,428
2015,3,Williams,257
2015,4,Red Bull,187
2015,5,Force India,136
2015,6,Lotus F1,78
2015,7,Toro Rosso,67
2015,8,Sauber,36
2015,9,McLaren,27
2015,10,Manor Marussia,0
2016,1,Mercedes,765
2016,2,Red Bull,468
2016,3,Ferrari,398
2016,4,Force India,173
2016,5,Williams,138
2016,6,McLaren,76
2016,7,Toro Rosso,63
2016,8,Haas F1 Team,29
2016,9,Renault,8
2016,10,Sauber,2
2016,11,Manor Marussia,1
2017,1,Mercedes,668
2017,2,Ferrari,522
2017,3,Red Bull,368
2017,4,Force India,187
2017,5,Williams,83
2017,6,Renault,57
2017,7,Toro Rosso,53
2017,8,Haas F1 Team,47
2017,9,McLaren,30
2017,10,Sauber,5
2018,1,Mercedes,655
2018,2,Ferrari,571
2018,3,Red Bull,419
2018,4,Renault,122
2018,5,Haas F1 Team,93
2018,6,McLaren,62
2018,7,Force India,52
2018,8,Sauber,48
2018,9,Toro Rosso,33
2018,10,Williams,7
2019,1,Mercedes,739
2019,2,Ferrari,504
2019,3,Red Bull,417
2019,4,McLaren,145
2019,5,Renault,91
2019,6,Toro Rosso,85
2019,7,Racing Point,73
2019,8,Alfa Romeo,57
2019,9,Haas F1 Team,28
2019,10,Williams,1
2020,1,Mercedes,573
2020,2,Red Bull,319
2020,3,McLaren,202
2020,4,Racing Point,195
2020,5,Renault,181
2020,6,Ferrari,131
2020,7,AlphaTauri,107
2020,8,Alfa Romeo,8
2020,9,Haas F1 Team,3
2020,10,Williams,0
2021,1,Mercedes,613.5
2021,2,Red Bull,585.5
2021,3,Ferrari,323.5
2021,4,McLaren,275
2021,5,Alpine F1 Team,155
2021,6,AlphaTauri,142
2021,7,Aston Martin,77
2021,8,Williams,23
2021,9,Alfa Romeo,13
2021,10,Haas F1 Team,0
2022,1,Red Bull,759
2022,2,Ferrari,554
2022,3,Mercedes,515
2022,4,Alpine F1 Team,173
2022,5,McLaren,159
2022,6,Alfa Romeo,55
2022,7,Aston Martin,55
2022,8,Haas F1 Team,37
2022,9,AlphaTauri,35
2022,10,Williams,8
2023,1,Red Bull,860
2023,2,Mercedes,409
2023,3,Ferrari,406
2023,4,McLaren,302
2023,5,Aston Martin,280
2023,6,Alpine F1 Team,120
2023,7,Williams,28
2023,8,AlphaTauri,25
2023,9,Alfa Romeo,16
2023,10,Haas F1 Team,12
